equipo,edicion,pais,valor_mercado,promedio_valor_mercado,promedio_edad,cantidad_jugadores,cantidad_jugadores_extranjeros
Clube Atlético Mineiro,2020,Ecuador,80.23,1.34,24.3,60,58
São Paulo FC,2020,Ecuador,77.13,1.64,23.9,47,45
Fluminense Football Club,2020,Ecuador,39.78,0.737,24.1,54,54
CA Vélez Sarsfield,2020,Ecuador,91.25,1.75,23.6,52,51
CSD Defensa y Justicia,2020,Ecuador,50.5,0.616,24.4,82,82
Club Atlético Independiente,2020,Ecuador,66.08,1.25,25.1,53,53
Club Atlético Lanús,2020,Ecuador,49.93,0.979,23.2,51,51
Fortaleza Esporte Clube,2020,Ecuador,18.23,0.434,26.6,42,42
Club de Regatas Vasco da Gama,2020,Ecuador,42.05,0.858,24.2,49,49
AA Argentinos Juniors,2020,Ecuador,44.05,0.831,25.2,53,53
Junior de Barranquilla,2020,Ecuador,25.73,0.83,27.1,31,31
Millonarios FC,2020,Ecuador,22.85,0.635,25.1,36,36
Atlético Nacional,2020,Ecuador,21.4,0.594,24.4,36,36
CA Huracán,2020,Ecuador,23.35,0.41,25.1,57,57
Deportes Tolima,2020,Ecuador,23.13,0.723,25.6,32,31
CD Universidad Católica,2020,Ecuador,14.2,0.364,24.9,39,39
CS Emelec,2020,Ecuador,14.2,0.473,25.4,30,7
Esporte Clube Bahia,2020,Ecuador,32.83,0.619,24.6,53,53
CA Peñarol,2020,Ecuador,17.85,0.425,25.7,42,42
Goiás Esporte Clube,2020,Ecuador,24.6,0.378,24.1,65,65
Deportivo Cali,2020,Ecuador,14.68,0.432,23.7,34,34
Club Atlético Tucumán,2020,Ecuador,16.55,0.376,26.5,44,44
Bolívar La Paz,2020,Ecuador,15.48,0.387,24.9,40,40
Club Atlético Unión,2020,Ecuador,22.58,0.426,24.0,53,53
CD Universidad Católica,2020,Ecuador,11.8,0.381,24.4,31,7
Liverpool FC Montevideo,2020,Ecuador,6.1,0.161,23.2,38,38
FBC Melgar,2020,Ecuador,8.95,0.289,24.3,31,31
Club Always Ready,2020,Ecuador,3.18,0.113,28.5,28,28
SD Aucas,2020,Ecuador,13.8,0.373,26.0,37,12
Club Deportivo Oriente Petrolero,2020,Ecuador,2.93,0.075,23.8,39,39
Atletico River Plate Montevideo,2020,Ecuador,7.18,0.189,24.5,38,38
Unión La Calera,2020,Ecuador,9.2,0.279,24.7,33,33
Audax Italiano,2020,Ecuador,7.45,0.233,24.1,32,31
CD Huachipato,2020,Ecuador,7.98,0.266,22.9,30,28
Blooming Santa Cruz,2020,Ecuador,2.65,0.083,24.6,32,32
Club Nacional Asunción,2020,Ecuador,3.13,0.066,25.6,47,47
Asociación Deportivo Pasto,2020,Ecuador,11.73,0.378,26.9,31,31
Club Plaza Colonia,2020,Ecuador,6.3,0.147,23.7,43,43
Coquimbo Unido,2020,Ecuador,6.43,0.189,25.9,34,34
CA Nacional Potosí,2020,Ecuador,1.78,0.059,27.2,30,30
Sport Huancayo,2020,Ecuador,5.2,0.179,28.3,29,29
CA Fénix,2020,Ecuador,6.73,0.172,25.3,39,39
Club Atlético Grau,2020,Ecuador,6.18,0.172,24.8,36,36
Caracas FC,2020,Ecuador,7.3,0.183,22.6,40,40
Club Sol de América,2020,Ecuador,6.2,0.141,25.9,44,43
Cusco FC,2020,Ecuador,5.88,0.173,25.6,34,34
Aragua FC,2020,Ecuador,4.98,0.146,23.6,34,34
Zamora FC,2020,Ecuador,4.68,0.142,23.2,33,33
Estudiantes de Mérida,2020,Ecuador,5.35,0.145,23.6,37,37
Mineros de Guayana,2020,Ecuador,4.4,0.119,25.7,37,37
CD El Nacional,2020,Ecuador,8.8,0.244,26.3,36,0
Sportivo Luqueño,2020,Ecuador,4.1,0.073,25.2,56,56
River Plate Asunción,2020,Ecuador,4.25,0.106,27.4,40,39
Llaneros de Guanare EF,2020,Ecuador,2.28,0.063,23.9,36,36
Clube Atlético Mineiro,2019,Ecuador,58.9,1.15,25.2,51,50
Sport Club Corinthians Paulista,2019,Ecuador,89.2,1.72,24.6,52,51
Santos FC,2019,Ecuador,107.05,2.02,24.4,53,53
Fluminense Football Club,2019,Ecuador,68.1,1.22,24.0,56,56
Botafogo de Futebol e Regatas,2019,Ecuador,37.15,0.844,24.5,44,44
Racing Club,2019,Ecuador,79.23,1.58,26.2,50,50
Club Atlético Colón,2019,Ecuador,43.83,0.932,26.1,47,47
CSD Defensa y Justicia,2019,Ecuador,59.83,1.13,25.8,53,53
Club Atlético Independiente,2019,Ecuador,107.65,2.29,25.9,47,46
AA Argentinos Juniors,2019,Ecuador,32.53,0.638,24.7,51,51
Atlético Nacional,2019,Ecuador,30.88,0.605,23.5,51,51
Deportes Tolima,2019,Ecuador,28.7,0.797,25.6,36,36
CSD Colo Colo,2019,Ecuador,14.7,0.459,26.0,32,32
CD Universidad Católica,2019,Ecuador,19.65,0.595,25.7,33,33
Independiente del Valle,2019,Ecuador,12.05,0.294,22.6,41,8
Esporte Clube Bahia,2019,Ecuador,44.95,1.07,26.0,42,42
CA Peñarol,2019,Ecuador,25.2,0.548,24.7,46,46
Deportivo Cali,2019,Ecuador,27.18,0.618,23.3,44,44
Club Guaraní,2019,Ecuador,6.08,0.145,25.4,42,42
Club Sporting Cristal,2019,Ecuador,11.43,0.286,23.1,40,40
Club Atlético Unión,2019,Ecuador,26.6,0.665,25.1,40,40
CD Universidad Católica,2019,Ecuador,13.65,0.341,23.1,40,7
Associação Chapecoense de Futebol,2019,Ecuador,32.7,0.641,26.6,51,51
Unión Española,2019,Ecuador,11.28,0.332,23.8,34,34
Liverpool FC Montevideo,2019,Ecuador,8.43,0.228,25.2,37,37
FBC Melgar,2019,Ecuador,12.63,0.332,24.2,38,37
Once Caldas,2019,Ecuador,16.9,0.433,25.4,39,39
Royal Pari Fútbol Club,2019,Ecuador,2.2,0.079,27.4,28,28
Club Deportivo Oriente Petrolero,2019,Ecuador,2.45,0.123,26.0,20,20
